City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
345,Mahebourg,MU,73.0,['few clouds'],-20.41,57.7,Shandrani Beachcomber Resort & Spa
346,Bend,US,61.0,['clear sky'],44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
348,Pozo Colorado,PY,71.73,['clear sky'],-23.49,-58.8,Hospedaje la Amistad
350,Tumbi,TZ,64.17,['clear sky'],-5.07,32.73,Outline Media Tz
352,Laredo,US,66.2,['overcast clouds'],27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
358,Amontada,BR,74.43,['overcast clouds'],-3.36,-39.83,Hotel Luar do Sertao Amontada
361,North Bend,US,60.01,['clear sky'],43.41,-124.22,Red Lion Hotel Coos Bay
363,Rio Verde De Mato Grosso,BR,73.89,['overcast clouds'],-18.92,-54.84,Hotel Valência
373,Umm Lajj,SA,62.01,['clear sky'],25.02,37.27,Tanal Hotel Apartment
375,Palasa,IN,73.71,['clear sky'],18.77,84.42,Malla Krishana apartment
377,Oranjemund,,61.47,['clear sky'],-28.55,16.43,Fisherman's Cove
384,Malanje,AO,60.57,['broken clouds'],-9.54,16.34,Malanje Hotel
386,Esperance,AU,60.8,['overcast clouds'],-33.87,121.9,Hospitality Esperance
394,Port Pirie,AU,62.6,['overcast clouds'],-33.18,138.02,John Pirie Motor Inn
395,Coronel,CL,55.4,['overcast clouds'],-37.02,-73.13,Abogados Coronel
398,Naron,ES,55.0,['broken clouds'],43.52,-8.15,Marcial
402,Broken Hill,AU,60.8,['scattered clouds'],-31.95,141.43,Daydream Motel & Cottages
404,Camacha,PT,59.0,['broken clouds'],33.08,-16.33,Hotel Porto Santo & Spa
406,Shenjiamen,CN,56.43,['clear sky'],29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
409,Coquimbo,CL,60.8,['overcast clouds'],-29.95,-71.34,Hotel San Juan
413,Taoudenni,ML,68.49,['clear sky'],22.68,-3.98,
416,Marsh Harbour,BS,73.35,['clear sky'],26.54,-77.06,Abaco Beach Resort
419,Gumla,IN,67.59,['overcast clouds'],23.05,84.55,Hotel Bindesh
420,Lasa,IT,59.0,['overcast clouds'],46.62,10.7,Pension Feldgärtenhof
422,Pemangkat,ID,75.51,['overcast clouds'],1.17,108.97,Kost H.Syamsuddin
425,Weifang,CN,60.21,['scattered clouds'],36.71,119.1,潍坊国际金融大酒店
429,Wanning,CN,76.05,['overcast clouds'],18.8,110.4,Paradise Hotel
435,Taitung,TW,66.2,['broken clouds'],22.76,121.14,Taitung Bali Suites Hotel
436,Longyan,CN,69.01,['broken clouds'],25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
