City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Saint George,US,2020-03-18 10:45:08,37.1,-113.58,48.2,93,55,4.7
148,Bose,IT,2020-03-18 10:48:14,45.46,8.01,64.0,54,10,3.36
149,Nome,US,2020-03-18 10:48:14,64.5,-165.41,28.99,92,90,11.41
150,San Pedro De Los Naranjos,MX,2020-03-18 10:48:15,20.25,-100.98,55.4,93,20,1.79
151,Taltal,CL,2020-03-18 10:48:15,-25.4,-70.48,61.25,76,30,1.14
152,Kulhudhuffushi,MV,2020-03-18 10:48:15,6.62,73.07,83.57,77,100,16.8
153,Vostok,RU,2020-03-18 10:48:15,46.49,135.88,23.63,91,99,5.14
154,Amapa,BR,2020-03-18 10:48:15,1.0,-52.0,80.51,77,81,4.18
155,Wyndham,US,2020-03-18 10:48:15,37.7,-77.61,51.8,57,90,6.93
156,Camopi,GF,2020-03-18 10:48:15,3.17,-52.32,81.95,70,31,4.94
157,Yulara,AU,2020-03-18 10:48:15,-25.24,130.99,96.8,14,0,8.05
158,Zhigansk,RU,2020-03-18 10:48:16,66.77,123.37,-22.63,90,0,6.98
159,Sulangan,PH,2020-03-18 10:48:16,11.14,123.72,81.59,76,45,21.03
160,Mbeya,TZ,2020-03-18 10:48:16,-8.9,33.45,68.27,91,99,3.2
161,Sawtell,AU,2020-03-18 10:48:16,-30.38,153.1,62.6,88,40,2.24
162,Oussouye,SN,2020-03-18 10:48:16,12.48,-16.55,77.0,69,5,11.41
163,Coahuayana,MX,2020-03-18 10:45:06,18.73,-103.68,69.71,48,0,3.62
164,Tura,IN,2020-03-18 10:48:16,25.52,90.22,79.61,30,0,5.01
165,Xiaoshi,CN,2020-03-18 10:48:16,41.3,124.12,51.8,76,30,4.47
166,Sotnikovskoye,RU,2020-03-18 10:48:16,45.0,43.78,39.29,74,100,14.72
167,Abrau-Dyurso,RU,2020-03-18 10:48:17,44.69,37.59,48.0,42,40,31.32
168,Anchorage,US,2020-03-18 10:45:03,61.22,-149.9,30.0,92,90,5.44
169,Coihaique,CL,2020-03-18 10:48:03,-45.58,-72.07,44.6,81,6,4.7
170,Lasa,IT,2020-03-18 10:48:17,46.62,10.7,60.01,61,13,6.93
171,Abomsa,ET,2020-03-18 10:48:17,9.98,39.98,88.07,32,85,7.92
172,Galle,LK,2020-03-18 10:48:17,6.04,80.22,83.39,76,43,7.2
173,Wicklow,IE,2020-03-18 10:48:17,53.0,-6.42,45.0,75,90,11.41
174,Arraial Do Cabo,BR,2020-03-18 10:48:17,-22.97,-42.03,77.0,83,0,6.93
175,Khasan,RU,2020-03-18 10:48:17,42.43,130.64,35.69,84,33,1.61
176,Rio Tercero,AR,2020-03-18 10:48:18,-32.17,-64.11,61.25,94,32,7.74
177,Yatou,CN,2020-03-18 10:48:18,37.15,122.38,50.45,72,0,18.19
178,Torbay,CA,2020-03-18 10:48:18,47.67,-52.73,35.01,94,90,27.51
179,Petropavlovsk-Kamchatskiy,RU,2020-03-18 10:48:18,53.05,158.65,24.8,58,100,11.18
180,Cockburn Town,TC,2020-03-18 10:48:18,21.46,-71.14,75.47,74,23,19.55
181,Souillac,MU,2020-03-18 10:48:18,-20.52,57.52,86.0,62,75,17.22
182,Agadez,NE,2020-03-18 10:48:18,19.75,10.25,93.65,4,0,13.56
183,San Cristobal,VE,2020-03-18 10:48:18,7.77,-72.22,73.4,94,75,2.24
184,Giyani,ZA,2020-03-18 10:48:19,-23.3,30.72,85.19,38,44,6.15
185,Coquimbo,CL,2020-03-18 10:48:19,-29.95,-71.34,57.2,82,90,2.24
